Activity Description,User,Date,Time,Reason for change,Anomaly
User logged into the system,operator1,8/27/2024,8:00:00,Not Available,0
Loaded recipe for batch #001,operator1,8/27/2024,8:05:00,Not Available,0
Initiated pre-operation equipment check,operator1,8/27/2024,8:10:00,Not Available,0
Verified calibration of scales,operator1,8/27/2024,8:15:00,Not Available,0
Started coating process for batch #001,operator1,8/27/2024,8:20:00,Not Available,0
Adjusted inlet air temperature from 146°C to 151°C,operator1,8/27/2024,8:25:00,Not Available,0
Adjusted spray rate from 9 mL/min to 11 mL/min,operator1,8/27/2024,8:30:00,Not Available,0
Performed intermediate quality check,operator1,8/27/2024,8:35:00,Not Available,0
Changed coating solution to type B,operator1,8/27/2024,8:40:00,Not Available,0
Adjusted drum speed from 13 RPM to 16 RPM,operator1,8/27/2024,8:45:00,Not Available,0
Performed final quality check,operator1,8/27/2024,8:50:00,Not Available,0
Stopped coating process for batch #001,operator1,8/27/2024,8:55:00,Not Available,0
Logged out of the system,operator1,8/27/2024,9:00:00,Not Available,0
User logged into the system,operator1,8/27/2024,9:05:00,Not Available,0
Loaded recipe for batch #002,operator1,8/27/2024,9:10:00,Not Available,0
Initiated pre-operation equipment check,operator1,8/27/2024,9:15:00,Not Available,0
Verified calibration of scales,operator1,8/27/2024,9:20:00,Not Available,0
Started coating process for batch #002,operator1,8/27/2024,9:25:00,Not Available,0
Adjusted inlet air temperature from 147°C to 152°C,operator1,8/27/2024,9:30:00,Not Available,0
Adjusted spray rate from 10 mL/min to 12 mL/min,operator1,8/27/2024,9:35:00,Not Available,0
Performed intermediate quality check,operator1,8/27/2024,9:40:00,Not Available,0
Changed coating solution to type C,operator1,8/27/2024,9:45:00,Not Available,0
Adjusted drum speed from 14 RPM to 17 RPM,operator1,8/27/2024,9:50:00,Not Available,0
Performed final quality check,operator1,8/27/2024,9:55:00,Not Available,0
Stopped coating process for batch #002,operator1,8/27/2024,10:00:00,Not Available,0
Logged out of the system,operator1,8/27/2024,10:05:00,Not Available,0
User logged into the system,operator1,8/27/2024,10:10:00,Not Available,0
Initiated pre-operation equipment check,operator1,8/27/2024,10:15:00,Not Available,1
Loaded recipe for batch #003,operator1,8/27/2024,10:20:00,Not Available,1
Verified calibration of scales,operator1,8/27/2024,10:25:00,Not Available,0
